"AGE","SEX","TNM_N_cat","TNM_T_cat","colon_cea","no_metastasis","metastasis","risk_level"
0,"1","N0","T0",1,0.3384,0.6616,"HIGH"
1,"1","N0","T0",1,0.3384,0.6616,"HIGH"
2,"1","N0","T0",1,0.3384,0.6616,"HIGH"
3,"1","N0","T0",1,0.3384,0.6616,"HIGH"
4,"1","N0","T0",1,0.3384,0.6616,"HIGH"
5,"1","N0","T0",1,0.3384,0.6616,"HIGH"
6,"1","N0","T0",1,0.3384,0.6616,"HIGH"
7,"1","N0","T0",1,0.3285,0.6715,"HIGH"
8,"1","N0","T0",1,0.3285,0.6715,"HIGH"
9,"1","N0","T0",1,0.3285,0.6715,"HIGH"
10,"1","N0","T0",1,0.3285,0.6715,"HIGH"
11,"1","N0","T0",1,0.3285,0.6715,"HIGH"
12,"1","N0","T0",1,0.3285,0.6715,"HIGH"
13,"1","N0","T0",1,0.3285,0.6715,"HIGH"
14,"1","N0","T0",1,0.3285,0.6715,"HIGH"
15,"1","N0","T0",1,0.3385,0.6615,"HIGH"
16,"1","N0","T0",1,0.3407,0.6593,"HIGH"
17,"1","N0","T0",1,0.3384,0.6616,"HIGH"
18,"1","N0","T0",1,0.3371,0.6629,"HIGH"
19,"1","N0","T0",1,0.4588,0.5412,"HIGH"
20,"1","N0","T0",1,0.3945,0.6055,"HIGH"
21,"1","N0","T0",1,0.4506,0.5494,"HIGH"
22,"1","N0","T0",1,0.4738,0.5262,"HIGH"
23,"1","N0","T0",1,0.4964,0.5036,"HIGH"
24,"1","N0","T0",1,0.4354,0.5646,"HIGH"
25,"1","N0","T0",1,0.4446,0.5554,"HIGH"
26,"1","N0","T0",1,0.5253,0.4747,"LOW"
27,"1","N0","T0",1,0.5069,0.4931,"LOW"
28,"1","N0","T0",1,0.5669,0.4331,"LOW"
29,"1","N0","T0",1,0.6271,0.3729,"LOW"
30,"1","N0","T0",1,0.6467,0.3533,"LOW"
31,"1","N0","T0",1,0.6154,0.3846,"LOW"
32,"1","N0","T0",1,0.5949,0.4051,"LOW"
33,"1","N0","T0",1,0.6126,0.3874,"LOW"
34,"1","N0","T0",1,0.637,0.363,"LOW"
35,"1","N0","T0",1,0.6287,0.3713,"LOW"
36,"1","N0","T0",1,0.6151,0.3849,"LOW"
37,"1","N0","T0",1,0.5848,0.4152,"LOW"
38,"1","N0","T0",1,0.571,0.429,"LOW"
39,"1","N0","T0",1,0.5775,0.4225,"LOW"
40,"1","N0","T0",1,0.5717,0.4283,"LOW"
41,"1","N0","T0",1,0.5276,0.4724,"LOW"
42,"1","N0","T0",1,0.5096,0.4904,"LOW"
43,"1","N0","T0",1,0.4505,0.5495,"HIGH"
44,"1","N0","T0",1,0.4162,0.5838,"HIGH"
45,"1","N0","T0",1,0.4087,0.5913,"HIGH"
46,"1","N0","T0",1,0.3902,0.6098,"HIGH"
47,"1","N0","T0",1,0.385,0.615,"HIGH"
48,"1","N0","T0",1,0.3326,0.6674,"HIGH"
49,"1","N0","T0",1,0.3936,0.6064,"HIGH"
50,"1","N0","T0",1,0.4332,0.5668,"HIGH"
51,"1","N0","T0",1,0.4087,0.5913,"HIGH"
52,"1","N0","T0",1,0.414,0.586,"HIGH"
53,"1","N0","T0",1,0.3148,0.6852,"HIGH"
54,"1","N0","T0",1,0.3406,0.6594,"HIGH"
55,"1","N0","T0",1,0.3552,0.6448,"HIGH"
56,"1","N0","T0",1,0.3423,0.6577,"HIGH"
57,"1","N0","T0",1,0.3251,0.6749,"HIGH"
58,"1","N0","T0",1,0.3137,0.6863,"HIGH"
59,"1","N0","T0",1,0.4646,0.5354,"HIGH"
60,"1","N0","T0",1,0.4373,0.5627,"HIGH"
61,"1","N0","T0",1,0.3957,0.6043,"HIGH"
62,"1","N0","T0",1,0.4221,0.5779,"HIGH"
63,"1","N0","T0",1,0.3668,0.6332,"HIGH"
64,"1","N0","T0",1,0.5519,0.4481,"LOW"
65,"1","N0","T0",1,0.5796,0.4204,"LOW"
66,"1","N0","T0",1,0.4328,0.5672,"HIGH"
67,"1","N0","T0",1,0.4873,0.5127,"HIGH"
68,"1","N0","T0",1,0.4093,0.5907,"HIGH"
69,"1","N0","T0",1,0.4333,0.5667,"HIGH"
70,"1","N0","T0",1,0.3951,0.6049,"HIGH"
71,"1","N0","T0",1,0.3785,0.6215,"HIGH"
72,"1","N0","T0",1,0.3224,0.6776,"HIGH"
73,"1","N0","T0",1,0.3313,0.6687,"HIGH"
74,"1","N0","T0",1,0.3674,0.6326,"HIGH"
75,"1","N0","T0",1,0.3056,0.6944,"HIGH"
76,"1","N0","T0",1,0.3265,0.6735,"HIGH"
77,"1","N0","T0",1,0.3723,0.6277,"HIGH"
78,"1","N0","T0",1,0.4133,0.5867,"HIGH"
79,"1","N0","T0",1,0.4644,0.5356,"HIGH"
80,"1","N0","T0",1,0.5059,0.4941,"LOW"
81,"1","N0","T0",1,0.3956,0.6044,"HIGH"
82,"1","N0","T0",1,0.3845,0.6155,"HIGH"
83,"1","N0","T0",1,0.538,0.462,"LOW"
84,"1","N0","T0",1,0.4026,0.5974,"HIGH"
85,"1","N0","T0",1,0.4196,0.5804,"HIGH"
86,"1","N0","T0",1,0.4275,0.5725,"HIGH"
87,"1","N0","T0",1,0.4839,0.5161,"HIGH"
88,"1","N0","T0",1,0.4664,0.5336,"HIGH"
89,"1","N0","T0",1,0.4814,0.5186,"HIGH"
90,"1","N0","T0",1,0.48,0.52,"HIGH"
91,"1","N0","T0",1,0.48,0.52,"HIGH"
92,"1","N0","T0",1,0.48,0.52,"HIGH"
93,"1","N0","T0",1,0.48,0.52,"HIGH"
94,"1","N0","T0",1,0.48,0.52,"HIGH"
