"AGE","SEX","TNM_N_cat","TNM_T_cat","rcc_sf_cat","rcc_fng_cat","no_metastasis","metastasis","risk_level"
0,"1","N0","T0","Yes","1",0.74,0.26,"LOW"
1,"1","N0","T0","Yes","1",0.74,0.26,"LOW"
2,"1","N0","T0","Yes","1",0.7394,0.2606,"LOW"
3,"1","N0","T0","Yes","1",0.7405,0.2595,"LOW"
4,"1","N0","T0","Yes","1",0.7405,0.2595,"LOW"
5,"1","N0","T0","Yes","1",0.7405,0.2595,"LOW"
6,"1","N0","T0","Yes","1",0.7405,0.2595,"LOW"
7,"1","N0","T0","Yes","1",0.7405,0.2595,"LOW"
8,"1","N0","T0","Yes","1",0.7405,0.2595,"LOW"
9,"1","N0","T0","Yes","1",0.7405,0.2595,"LOW"
10,"1","N0","T0","Yes","1",0.7405,0.2595,"LOW"
11,"1","N0","T0","Yes","1",0.7405,0.2595,"LOW"
12,"1","N0","T0","Yes","1",0.7405,0.2595,"LOW"
13,"1","N0","T0","Yes","1",0.7405,0.2595,"LOW"
14,"1","N0","T0","Yes","1",0.7405,0.2595,"LOW"
15,"1","N0","T0","Yes","1",0.7405,0.2595,"LOW"
16,"1","N0","T0","Yes","1",0.7405,0.2595,"LOW"
17,"1","N0","T0","Yes","1",0.7395,0.2605,"LOW"
18,"1","N0","T0","Yes","1",0.7395,0.2605,"LOW"
19,"1","N0","T0","Yes","1",0.7395,0.2605,"LOW"
20,"1","N0","T0","Yes","1",0.7395,0.2605,"LOW"
21,"1","N0","T0","Yes","1",0.7408,0.2592,"LOW"
22,"1","N0","T0","Yes","1",0.742,0.258,"LOW"
23,"1","N0","T0","Yes","1",0.7466,0.2534,"LOW"
24,"1","N0","T0","Yes","1",0.7479,0.2521,"LOW"
25,"1","N0","T0","Yes","1",0.7479,0.2521,"LOW"
26,"1","N0","T0","Yes","1",0.7514,0.2486,"LOW"
27,"1","N0","T0","Yes","1",0.7527,0.2473,"LOW"
28,"1","N0","T0","Yes","1",0.7567,0.2433,"LOW"
29,"1","N0","T0","Yes","1",0.7642,0.2358,"LOW"
30,"1","N0","T0","Yes","1",0.7636,0.2364,"LOW"
31,"1","N0","T0","Yes","1",0.757,0.243,"LOW"
32,"1","N0","T0","Yes","1",0.758,0.242,"LOW"
