"AGE","SEX","TNM_N_cat","TNM_T_cat","liver_afp_cat","liver_fs_cat","no_metastasis","metastasis","risk_level"
0,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.8704,0.1296,"LOW"
1,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.8704,0.1296,"LOW"
2,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.8704,0.1296,"LOW"
3,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.8704,0.1296,"LOW"
4,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.8704,0.1296,"LOW"
5,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.8704,0.1296,"LOW"
6,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.8704,0.1296,"LOW"
7,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.8704,0.1296,"LOW"
8,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.8704,0.1296,"LOW"
9,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.8704,0.1296,"LOW"
10,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.8697,0.1303,"LOW"
11,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.8697,0.1303,"LOW"
12,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.8697,0.1303,"LOW"
13,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.8697,0.1303,"LOW"
14,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.8697,0.1303,"LOW"
15,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.8697,0.1303,"LOW"
16,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.8717,0.1283,"LOW"
17,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.8737,0.1263,"LOW"
18,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.8717,0.1283,"LOW"
19,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.8717,0.1283,"LOW"
20,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.8727,0.1273,"LOW"
21,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.8685,0.1315,"LOW"
22,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.8683,0.1317,"LOW"
23,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.8681,0.1319,"LOW"
24,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.8721,0.1279,"LOW"
25,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.878,0.122,"LOW"
26,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.8809,0.1191,"LOW"
27,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.8769,0.1231,"LOW"
28,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.8779,0.1221,"LOW"
29,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.8804,0.1196,"LOW"
30,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.8821,0.1179,"LOW"
31,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.8815,0.1185,"LOW"
32,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.8853,0.1147,"LOW"
33,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.8853,0.1147,"LOW"
34,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.8873,0.1127,"LOW"
35,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.8938,0.1062,"LOW"
36,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.8997,0.1003,"LOW"
37,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.9037,0.0963,"LOW"
38,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.9084,0.0916,"LOW"
39,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.9084,0.0916,"LOW"
40,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.9129,0.0871,"LOW"
41,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.9131,0.0869,"LOW"
42,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.9131,0.0869,"LOW"
43,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.9146,0.0854,"LOW"
44,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.9168,0.0832,"LOW"
45,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.9166,0.0834,"LOW"
46,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.9152,0.0848,"LOW"
47,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.913,0.087,"LOW"
48,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.9129,0.0871,"LOW"
49,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.9129,0.0871,"LOW"
50,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.9118,0.0882,"LOW"
51,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.9151,0.0849,"LOW"
52,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.9137,0.0863,"LOW"
53,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.9116,0.0884,"LOW"
