"AGE","TNM_N_cat","TNM_T_cat","ovary_ca125_cat","no_metastasis","metastasis","risk_level"
0,"N0","T0","Negative/normal; within normal limits",0.5479,0.4521,"LOW"
1,"N0","T0","Negative/normal; within normal limits",0.5479,0.4521,"LOW"
2,"N0","T0","Negative/normal; within normal limits",0.7043,0.2957,"LOW"
3,"N0","T0","Negative/normal; within normal limits",0.7142,0.2858,"LOW"
4,"N0","T0","Negative/normal; within normal limits",0.7495,0.2505,"LOW"
5,"N0","T0","Negative/normal; within normal limits",0.8076,0.1924,"LOW"
6,"N0","T0","Negative/normal; within normal limits",0.8512,0.1488,"LOW"
7,"N0","T0","Negative/normal; within normal limits",0.8645,0.1355,"LOW"
8,"N0","T0","Negative/normal; within normal limits",0.87,0.13,"LOW"
9,"N0","T0","Negative/normal; within normal limits",0.8719,0.1281,"LOW"
10,"N0","T0","Negative/normal; within normal limits",0.8995,0.1005,"LOW"
11,"N0","T0","Negative/normal; within normal limits",0.9047,0.0953,"LOW"
12,"N0","T0","Negative/normal; within normal limits",0.9083,0.0917,"LOW"
13,"N0","T0","Negative/normal; within normal limits",0.917,0.083,"LOW"
14,"N0","T0","Negative/normal; within normal limits",0.9173,0.0827,"LOW"
15,"N0","T0","Negative/normal; within normal limits",0.9158,0.0842,"LOW"
16,"N0","T0","Negative/normal; within normal limits",0.9185,0.0815,"LOW"
17,"N0","T0","Negative/normal; within normal limits",0.9135,0.0865,"LOW"
18,"N0","T0","Negative/normal; within normal limits",0.9123,0.0877,"LOW"
19,"N0","T0","Negative/normal; within normal limits",0.9048,0.0952,"LOW"
20,"N0","T0","Negative/normal; within normal limits",0.9098,0.0902,"LOW"
21,"N0","T0","Negative/normal; within normal limits",0.9188,0.0812,"LOW"
22,"N0","T0","Negative/normal; within normal limits",0.9106,0.0894,"LOW"
23,"N0","T0","Negative/normal; within normal limits",0.9226,0.0774,"LOW"
24,"N0","T0","Negative/normal; within normal limits",0.9276,0.0724,"LOW"
25,"N0","T0","Negative/normal; within normal limits",0.919,0.081,"LOW"
26,"N0","T0","Negative/normal; within normal limits",0.9243,0.0757,"LOW"
27,"N0","T0","Negative/normal; within normal limits",0.9249,0.0751,"LOW"
28,"N0","T0","Negative/normal; within normal limits",0.9257,0.0743,"LOW"
29,"N0","T0","Negative/normal; within normal limits",0.9249,0.0751,"LOW"
30,"N0","T0","Negative/normal; within normal limits",0.9259,0.0741,"LOW"
31,"N0","T0","Negative/normal; within normal limits",0.9302,0.0698,"LOW"
32,"N0","T0","Negative/normal; within normal limits",0.9336,0.0664,"LOW"
33,"N0","T0","Negative/normal; within normal limits",0.9335,0.0665,"LOW"
34,"N0","T0","Negative/normal; within normal limits",0.9249,0.0751,"LOW"
35,"N0","T0","Negative/normal; within normal limits",0.9209,0.0791,"LOW"
36,"N0","T0","Negative/normal; within normal limits",0.9241,0.0759,"LOW"
37,"N0","T0","Negative/normal; within normal limits",0.9197,0.0803,"LOW"
38,"N0","T0","Negative/normal; within normal limits",0.9166,0.0834,"LOW"
39,"N0","T0","Negative/normal; within normal limits",0.9149,0.0851,"LOW"
40,"N0","T0","Negative/normal; within normal limits",0.8933,0.1067,"LOW"
41,"N0","T0","Negative/normal; within normal limits",0.915,0.085,"LOW"
42,"N0","T0","Negative/normal; within normal limits",0.9117,0.0883,"LOW"
43,"N0","T0","Negative/normal; within normal limits",0.7529,0.2471,"LOW"
44,"N0","T0","Negative/normal; within normal limits",0.7719,0.2281,"LOW"
45,"N0","T0","Negative/normal; within normal limits",0.8478,0.1522,"LOW"
46,"N0","T0","Negative/normal; within normal limits",0.862,0.138,"LOW"
47,"N0","T0","Negative/normal; within normal limits",0.8579,0.1421,"LOW"
48,"N0","T0","Negative/normal; within normal limits",0.7554,0.2446,"LOW"
49,"N0","T0","Negative/normal; within normal limits",0.8495,0.1505,"LOW"
50,"N0","T0","Negative/normal; within normal limits",0.8855,0.1145,"LOW"
51,"N0","T0","Negative/normal; within normal limits",0.8863,0.1137,"LOW"
52,"N0","T0","Negative/normal; within normal limits",0.885,0.115,"LOW"
53,"N0","T0","Negative/normal; within normal limits",0.89,0.11,"LOW"
54,"N0","T0","Negative/normal; within normal limits",0.8558,0.1442,"LOW"
55,"N0","T0","Negative/normal; within normal limits",0.6843,0.3157,"LOW"
56,"N0","T0","Negative/normal; within normal limits",0.699,0.301,"LOW"
57,"N0","T0","Negative/normal; within normal limits",0.7731,0.2269,"LOW"
58,"N0","T0","Negative/normal; within normal limits",0.8727,0.1273,"LOW"
59,"N0","T0","Negative/normal; within normal limits",0.8808,0.1192,"LOW"
60,"N0","T0","Negative/normal; within normal limits",0.8771,0.1229,"LOW"
61,"N0","T0","Negative/normal; within normal limits",0.8391,0.1609,"LOW"
62,"N0","T0","Negative/normal; within normal limits",0.8479,0.1521,"LOW"
63,"N0","T0","Negative/normal; within normal limits",0.6816,0.3184,"LOW"
64,"N0","T0","Negative/normal; within normal limits",0.7651,0.2349,"LOW"
65,"N0","T0","Negative/normal; within normal limits",0.8557,0.1443,"LOW"
66,"N0","T0","Negative/normal; within normal limits",0.8583,0.1417,"LOW"
67,"N0","T0","Negative/normal; within normal limits",0.8307,0.1693,"LOW"
68,"N0","T0","Negative/normal; within normal limits",0.7842,0.2158,"LOW"
69,"N0","T0","Negative/normal; within normal limits",0.6455,0.3545,"LOW"
