"AGE","TNM_N_cat","TNM_T_cat","prostate_psa","prostate_cores","prostate_gs_cat","no_metastasis","metastasis","risk_level"
0,"N0","T0",2,0.1,"Grade group 1",0.9996,4e-04,"LOW"
1,"N0","T0",2,0.1,"Grade group 1",0.9996,4e-04,"LOW"
2,"N0","T0",2,0.1,"Grade group 1",0.9996,4e-04,"LOW"
3,"N0","T0",2,0.1,"Grade group 1",0.9996,4e-04,"LOW"
4,"N0","T0",2,0.1,"Grade group 1",0.9996,4e-04,"LOW"
5,"N0","T0",2,0.1,"Grade group 1",0.9996,4e-04,"LOW"
6,"N0","T0",2,0.1,"Grade group 1",0.9996,4e-04,"LOW"
7,"N0","T0",2,0.1,"Grade group 1",0.9996,4e-04,"LOW"
8,"N0","T0",2,0.1,"Grade group 1",0.9996,4e-04,"LOW"
9,"N0","T0",2,0.1,"Grade group 1",0.9996,4e-04,"LOW"
10,"N0","T0",2,0.1,"Grade group 1",0.9996,4e-04,"LOW"
11,"N0","T0",2,0.1,"Grade group 1",0.9996,4e-04,"LOW"
12,"N0","T0",2,0.1,"Grade group 1",0.9996,4e-04,"LOW"
13,"N0","T0",2,0.1,"Grade group 1",0.9996,4e-04,"LOW"
14,"N0","T0",2,0.1,"Grade group 1",0.9996,4e-04,"LOW"
15,"N0","T0",2,0.1,"Grade group 1",0.9996,4e-04,"LOW"
16,"N0","T0",2,0.1,"Grade group 1",0.9996,4e-04,"LOW"
17,"N0","T0",2,0.1,"Grade group 1",0.9996,4e-04,"LOW"
18,"N0","T0",2,0.1,"Grade group 1",0.9996,4e-04,"LOW"
19,"N0","T0",2,0.1,"Grade group 1",0.9996,4e-04,"LOW"
20,"N0","T0",2,0.1,"Grade group 1",0.9996,4e-04,"LOW"
21,"N0","T0",2,0.1,"Grade group 1",0.9996,4e-04,"LOW"
22,"N0","T0",2,0.1,"Grade group 1",0.9996,4e-04,"LOW"
23,"N0","T0",2,0.1,"Grade group 1",0.9996,4e-04,"LOW"
24,"N0","T0",2,0.1,"Grade group 1",0.9996,4e-04,"LOW"
25,"N0","T0",2,0.1,"Grade group 1",0.9996,4e-04,"LOW"
26,"N0","T0",2,0.1,"Grade group 1",0.9996,4e-04,"LOW"
27,"N0","T0",2,0.1,"Grade group 1",0.9996,4e-04,"LOW"
28,"N0","T0",2,0.1,"Grade group 1",0.9996,4e-04,"LOW"
29,"N0","T0",2,0.1,"Grade group 1",0.9996,4e-04,"LOW"
30,"N0","T0",2,0.1,"Grade group 1",0.9996,4e-04,"LOW"
31,"N0","T0",2,0.1,"Grade group 1",0.9996,4e-04,"LOW"
32,"N0","T0",2,0.1,"Grade group 1",0.9996,4e-04,"LOW"
33,"N0","T0",2,0.1,"Grade group 1",0.9996,4e-04,"LOW"
34,"N0","T0",2,0.1,"Grade group 1",0.9996,4e-04,"LOW"
35,"N0","T0",2,0.1,"Grade group 1",0.9996,4e-04,"LOW"
36,"N0","T0",2,0.1,"Grade group 1",0.9996,4e-04,"LOW"
37,"N0","T0",2,0.1,"Grade group 1",0.9996,4e-04,"LOW"
38,"N0","T0",2,0.1,"Grade group 1",0.9995,5e-04,"LOW"
39,"N0","T0",2,0.1,"Grade group 1",0.9995,5e-04,"LOW"
40,"N0","T0",2,0.1,"Grade group 1",0.9995,5e-04,"LOW"
41,"N0","T0",2,0.1,"Grade group 1",0.9995,5e-04,"LOW"
42,"N0","T0",2,0.1,"Grade group 1",0.9993,7e-04,"LOW"
43,"N0","T0",2,0.1,"Grade group 1",0.9985,0.0015,"LOW"
44,"N0","T0",2,0.1,"Grade group 1",0.9995,5e-04,"LOW"
45,"N0","T0",2,0.1,"Grade group 1",0.9997,3e-04,"LOW"
46,"N0","T0",2,0.1,"Grade group 1",0.9997,3e-04,"LOW"
47,"N0","T0",2,0.1,"Grade group 1",0.9997,3e-04,"LOW"
48,"N0","T0",2,0.1,"Grade group 1",0.9997,3e-04,"LOW"
49,"N0","T0",2,0.1,"Grade group 1",0.9997,3e-04,"LOW"
50,"N0","T0",2,0.1,"Grade group 1",0.9997,3e-04,"LOW"
51,"N0","T0",2,0.1,"Grade group 1",0.9996,4e-04,"LOW"
52,"N0","T0",2,0.1,"Grade group 1",0.9998,2e-04,"LOW"
53,"N0","T0",2,0.1,"Grade group 1",0.9998,2e-04,"LOW"
54,"N0","T0",2,0.1,"Grade group 1",0.9998,2e-04,"LOW"
55,"N0","T0",2,0.1,"Grade group 1",0.9998,2e-04,"LOW"
56,"N0","T0",2,0.1,"Grade group 1",0.9998,2e-04,"LOW"
57,"N0","T0",2,0.1,"Grade group 1",0.9998,2e-04,"LOW"
58,"N0","T0",2,0.1,"Grade group 1",0.9998,2e-04,"LOW"
59,"N0","T0",2,0.1,"Grade group 1",0.9998,2e-04,"LOW"
60,"N0","T0",2,0.1,"Grade group 1",0.9998,2e-04,"LOW"
61,"N0","T0",2,0.1,"Grade group 1",0.9998,2e-04,"LOW"
62,"N0","T0",2,0.1,"Grade group 1",0.9998,2e-04,"LOW"
63,"N0","T0",2,0.1,"Grade group 1",0.9998,2e-04,"LOW"
64,"N0","T0",2,0.1,"Grade group 1",0.9978,0.0022,"LOW"
65,"N0","T0",2,0.1,"Grade group 1",0.9978,0.0022,"LOW"
66,"N0","T0",2,0.1,"Grade group 1",0.9978,0.0022,"LOW"
67,"N0","T0",2,0.1,"Grade group 1",0.9978,0.0022,"LOW"
68,"N0","T0",2,0.1,"Grade group 1",0.9998,2e-04,"LOW"
69,"N0","T0",2,0.1,"Grade group 1",0.9998,2e-04,"LOW"
70,"N0","T0",2,0.1,"Grade group 1",0.9996,4e-04,"LOW"
71,"N0","T0",2,0.1,"Grade group 1",0.9996,4e-04,"LOW"
72,"N0","T0",2,0.1,"Grade group 1",0.9996,4e-04,"LOW"
73,"N0","T0",2,0.1,"Grade group 1",0.9995,5e-04,"LOW"
74,"N0","T0",2,0.1,"Grade group 1",0.9996,4e-04,"LOW"
75,"N0","T0",2,0.1,"Grade group 1",0.9997,3e-04,"LOW"
76,"N0","T0",2,0.1,"Grade group 1",0.9998,2e-04,"LOW"
77,"N0","T0",2,0.1,"Grade group 1",0.9998,2e-04,"LOW"
78,"N0","T0",2,0.1,"Grade group 1",0.9998,2e-04,"LOW"
79,"N0","T0",2,0.1,"Grade group 1",0.9997,3e-04,"LOW"
80,"N0","T0",2,0.1,"Grade group 1",0.9997,3e-04,"LOW"
81,"N0","T0",2,0.1,"Grade group 1",0.999,0.001,"LOW"
82,"N0","T0",2,0.1,"Grade group 1",0.9978,0.0022,"LOW"
83,"N0","T0",2,0.1,"Grade group 1",0.9959,0.0041,"LOW"
84,"N0","T0",2,0.1,"Grade group 1",0.9842,0.0158,"LOW"
85,"N0","T0",2,0.1,"Grade group 1",0.9771,0.0229,"LOW"
86,"N0","T0",2,0.1,"Grade group 1",0.9724,0.0276,"LOW"
87,"N0","T0",2,0.1,"Grade group 1",0.9664,0.0336,"LOW"
88,"N0","T0",2,0.1,"Grade group 1",0.9729,0.0271,"LOW"
89,"N0","T0",2,0.1,"Grade group 1",0.9769,0.0231,"LOW"
90,"N0","T0",2,0.1,"Grade group 1",0.9789,0.0211,"LOW"
91,"N0","T0",2,0.1,"Grade group 1",0.9789,0.0211,"LOW"
92,"N0","T0",2,0.1,"Grade group 1",0.9789,0.0211,"LOW"
93,"N0","T0",2,0.1,"Grade group 1",0.9789,0.0211,"LOW"
94,"N0","T0",2,0.1,"Grade group 1",0.9789,0.0211,"LOW"
95,"N0","T0",2,0.1,"Grade group 1",0.9789,0.0211,"LOW"
96,"N0","T0",2,0.1,"Grade group 1",0.9789,0.0211,"LOW"
97,"N0","T0",2,0.1,"Grade group 1",0.9789,0.0211,"LOW"
98,"N0","T0",2,0.1,"Grade group 1",0.9789,0.0211,"LOW"
99,"N0","T0",2,0.1,"Grade group 1",0.9789,0.0211,"LOW"
0,"N1","T0",2,0.1,"Grade group 1",0.7573,0.2427,"LOW"
1,"N1","T0",2,0.1,"Grade group 1",0.7573,0.2427,"LOW"
2,"N1","T0",2,0.1,"Grade group 1",0.7573,0.2427,"LOW"
3,"N1","T0",2,0.1,"Grade group 1",0.7573,0.2427,"LOW"
4,"N1","T0",2,0.1,"Grade group 1",0.7573,0.2427,"LOW"
5,"N1","T0",2,0.1,"Grade group 1",0.7573,0.2427,"LOW"
6,"N1","T0",2,0.1,"Grade group 1",0.7573,0.2427,"LOW"
7,"N1","T0",2,0.1,"Grade group 1",0.7573,0.2427,"LOW"
8,"N1","T0",2,0.1,"Grade group 1",0.7573,0.2427,"LOW"
9,"N1","T0",2,0.1,"Grade group 1",0.7573,0.2427,"LOW"
10,"N1","T0",2,0.1,"Grade group 1",0.7573,0.2427,"LOW"
11,"N1","T0",2,0.1,"Grade group 1",0.7573,0.2427,"LOW"
12,"N1","T0",2,0.1,"Grade group 1",0.7573,0.2427,"LOW"
13,"N1","T0",2,0.1,"Grade group 1",0.7573,0.2427,"LOW"
14,"N1","T0",2,0.1,"Grade group 1",0.7573,0.2427,"LOW"
15,"N1","T0",2,0.1,"Grade group 1",0.7573,0.2427,"LOW"
16,"N1","T0",2,0.1,"Grade group 1",0.7573,0.2427,"LOW"
17,"N1","T0",2,0.1,"Grade group 1",0.7573,0.2427,"LOW"
18,"N1","T0",2,0.1,"Grade group 1",0.7573,0.2427,"LOW"
19,"N1","T0",2,0.1,"Grade group 1",0.7573,0.2427,"LOW"
20,"N1","T0",2,0.1,"Grade group 1",0.7573,0.2427,"LOW"
21,"N1","T0",2,0.1,"Grade group 1",0.7573,0.2427,"LOW"
22,"N1","T0",2,0.1,"Grade group 1",0.7573,0.2427,"LOW"
23,"N1","T0",2,0.1,"Grade group 1",0.7573,0.2427,"LOW"
24,"N1","T0",2,0.1,"Grade group 1",0.7573,0.2427,"LOW"
25,"N1","T0",2,0.1,"Grade group 1",0.7573,0.2427,"LOW"
26,"N1","T0",2,0.1,"Grade group 1",0.7573,0.2427,"LOW"
27,"N1","T0",2,0.1,"Grade group 1",0.7573,0.2427,"LOW"
28,"N1","T0",2,0.1,"Grade group 1",0.7573,0.2427,"LOW"
29,"N1","T0",2,0.1,"Grade group 1",0.7573,0.2427,"LOW"
30,"N1","T0",2,0.1,"Grade group 1",0.7573,0.2427,"LOW"
31,"N1","T0",2,0.1,"Grade group 1",0.7573,0.2427,"LOW"
32,"N1","T0",2,0.1,"Grade group 1",0.7573,0.2427,"LOW"
33,"N1","T0",2,0.1,"Grade group 1",0.7573,0.2427,"LOW"
34,"N1","T0",2,0.1,"Grade group 1",0.7573,0.2427,"LOW"
35,"N1","T0",2,0.1,"Grade group 1",0.7573,0.2427,"LOW"
36,"N1","T0",2,0.1,"Grade group 1",0.7573,0.2427,"LOW"
37,"N1","T0",2,0.1,"Grade group 1",0.7573,0.2427,"LOW"
38,"N1","T0",2,0.1,"Grade group 1",0.7573,0.2427,"LOW"
39,"N1","T0",2,0.1,"Grade group 1",0.7573,0.2427,"LOW"
40,"N1","T0",2,0.1,"Grade group 1",0.7593,0.2407,"LOW"
41,"N1","T0",2,0.1,"Grade group 1",0.7593,0.2407,"LOW"
42,"N1","T0",2,0.1,"Grade group 1",0.7553,0.2447,"LOW"
43,"N1","T0",2,0.1,"Grade group 1",0.7553,0.2447,"LOW"
44,"N1","T0",2,0.1,"Grade group 1",0.7513,0.2487,"LOW"
45,"N1","T0",2,0.1,"Grade group 1",0.7373,0.2627,"LOW"
46,"N1","T0",2,0.1,"Grade group 1",0.7283,0.2717,"LOW"
47,"N1","T0",2,0.1,"Grade group 1",0.7279,0.2721,"LOW"
48,"N1","T0",2,0.1,"Grade group 1",0.7257,0.2743,"LOW"
49,"N1","T0",2,0.1,"Grade group 1",0.7217,0.2783,"LOW"
50,"N1","T0",2,0.1,"Grade group 1",0.7156,0.2844,"LOW"
51,"N1","T0",2,0.1,"Grade group 1",0.7306,0.2694,"LOW"
52,"N1","T0",2,0.1,"Grade group 1",0.7413,0.2587,"LOW"
53,"N1","T0",2,0.1,"Grade group 1",0.7492,0.2508,"LOW"
54,"N1","T0",2,0.1,"Grade group 1",0.7558,0.2442,"LOW"
55,"N1","T0",2,0.1,"Grade group 1",0.7601,0.2399,"LOW"
56,"N1","T0",2,0.1,"Grade group 1",0.7547,0.2453,"LOW"
57,"N1","T0",2,0.1,"Grade group 1",0.7458,0.2542,"LOW"
58,"N1","T0",2,0.1,"Grade group 1",0.7441,0.2559,"LOW"
59,"N1","T0",2,0.1,"Grade group 1",0.7628,0.2372,"LOW"
60,"N1","T0",2,0.1,"Grade group 1",0.7803,0.2197,"LOW"
61,"N1","T0",2,0.1,"Grade group 1",0.7826,0.2174,"LOW"
62,"N1","T0",2,0.1,"Grade group 1",0.7918,0.2082,"LOW"
63,"N1","T0",2,0.1,"Grade group 1",0.7874,0.2126,"LOW"
64,"N1","T0",2,0.1,"Grade group 1",0.7836,0.2164,"LOW"
65,"N1","T0",2,0.1,"Grade group 1",0.7556,0.2444,"LOW"
66,"N1","T0",2,0.1,"Grade group 1",0.8204,0.1796,"LOW"
67,"N1","T0",2,0.1,"Grade group 1",0.8277,0.1723,"LOW"
68,"N1","T0",2,0.1,"Grade group 1",0.8458,0.1542,"LOW"
69,"N1","T0",2,0.1,"Grade group 1",0.8542,0.1458,"LOW"
70,"N1","T0",2,0.1,"Grade group 1",0.8555,0.1445,"LOW"
71,"N1","T0",2,0.1,"Grade group 1",0.8596,0.1404,"LOW"
72,"N1","T0",2,0.1,"Grade group 1",0.8586,0.1414,"LOW"
73,"N1","T0",2,0.1,"Grade group 1",0.8593,0.1407,"LOW"
74,"N1","T0",2,0.1,"Grade group 1",0.8608,0.1392,"LOW"
75,"N1","T0",2,0.1,"Grade group 1",0.852,0.148,"LOW"
76,"N1","T0",2,0.1,"Grade group 1",0.8465,0.1535,"LOW"
77,"N1","T0",2,0.1,"Grade group 1",0.8573,0.1427,"LOW"
78,"N1","T0",2,0.1,"Grade group 1",0.8587,0.1413,"LOW"
79,"N1","T0",2,0.1,"Grade group 1",0.8139,0.1861,"LOW"
80,"N1","T0",2,0.1,"Grade group 1",0.8018,0.1982,"LOW"
81,"N1","T0",2,0.1,"Grade group 1",0.7842,0.2158,"LOW"
82,"N1","T0",2,0.1,"Grade group 1",0.7546,0.2454,"LOW"
83,"N1","T0",2,0.1,"Grade group 1",0.7354,0.2646,"LOW"
84,"N1","T0",2,0.1,"Grade group 1",0.705,0.295,"LOW"
85,"N1","T0",2,0.1,"Grade group 1",0.6372,0.3628,"LOW"
86,"N1","T0",2,0.1,"Grade group 1",0.6277,0.3723,"LOW"
87,"N1","T0",2,0.1,"Grade group 1",0.6331,0.3669,"LOW"
88,"N1","T0",2,0.1,"Grade group 1",0.6283,0.3717,"LOW"
89,"N1","T0",2,0.1,"Grade group 1",0.6186,0.3814,"LOW"
90,"N1","T0",2,0.1,"Grade group 1",0.6156,0.3844,"LOW"
91,"N1","T0",2,0.1,"Grade group 1",0.6156,0.3844,"LOW"
92,"N1","T0",2,0.1,"Grade group 1",0.6156,0.3844,"LOW"
93,"N1","T0",2,0.1,"Grade group 1",0.6156,0.3844,"LOW"
94,"N1","T0",2,0.1,"Grade group 1",0.6156,0.3844,"LOW"
95,"N1","T0",2,0.1,"Grade group 1",0.6156,0.3844,"LOW"
96,"N1","T0",2,0.1,"Grade group 1",0.6156,0.3844,"LOW"
97,"N1","T0",2,0.1,"Grade group 1",0.6156,0.3844,"LOW"
98,"N1","T0",2,0.1,"Grade group 1",0.6156,0.3844,"LOW"
99,"N1","T0",2,0.1,"Grade group 1",0.6156,0.3844,"LOW"
0,"Other/Unknown","T0",2,0.1,"Grade group 1",0.9932,0.0068,"LOW"
1,"Other/Unknown","T0",2,0.1,"Grade group 1",0.9932,0.0068,"LOW"
2,"Other/Unknown","T0",2,0.1,"Grade group 1",0.9932,0.0068,"LOW"
3,"Other/Unknown","T0",2,0.1,"Grade group 1",0.9932,0.0068,"LOW"
4,"Other/Unknown","T0",2,0.1,"Grade group 1",0.9932,0.0068,"LOW"
5,"Other/Unknown","T0",2,0.1,"Grade group 1",0.9932,0.0068,"LOW"
6,"Other/Unknown","T0",2,0.1,"Grade group 1",0.9932,0.0068,"LOW"
7,"Other/Unknown","T0",2,0.1,"Grade group 1",0.9932,0.0068,"LOW"
8,"Other/Unknown","T0",2,0.1,"Grade group 1",0.9932,0.0068,"LOW"
9,"Other/Unknown","T0",2,0.1,"Grade group 1",0.9932,0.0068,"LOW"
