"AGE","SEX","TNM_N_cat","TNM_T_cat","rectum_cea_cat","no_metastasis","metastasis","risk_level"
0,"1","N0","T0","Negative/normal; within normal limits",0.9622,0.0378,"LOW"
1,"1","N0","T0","Negative/normal; within normal limits",0.9622,0.0378,"LOW"
2,"1","N0","T0","Negative/normal; within normal limits",0.9622,0.0378,"LOW"
3,"1","N0","T0","Negative/normal; within normal limits",0.9622,0.0378,"LOW"
4,"1","N0","T0","Negative/normal; within normal limits",0.9621,0.0379,"LOW"
5,"1","N0","T0","Negative/normal; within normal limits",0.9621,0.0379,"LOW"
6,"1","N0","T0","Negative/normal; within normal limits",0.9621,0.0379,"LOW"
7,"1","N0","T0","Negative/normal; within normal limits",0.9618,0.0382,"LOW"
8,"1","N0","T0","Negative/normal; within normal limits",0.9618,0.0382,"LOW"
9,"1","N0","T0","Negative/normal; within normal limits",0.9618,0.0382,"LOW"
10,"1","N0","T0","Negative/normal; within normal limits",0.9615,0.0385,"LOW"
11,"1","N0","T0","Negative/normal; within normal limits",0.9615,0.0385,"LOW"
12,"1","N0","T0","Negative/normal; within normal limits",0.9615,0.0385,"LOW"
13,"1","N0","T0","Negative/normal; within normal limits",0.9615,0.0385,"LOW"
14,"1","N0","T0","Negative/normal; within normal limits",0.9615,0.0385,"LOW"
15,"1","N0","T0","Negative/normal; within normal limits",0.9615,0.0385,"LOW"
16,"1","N0","T0","Negative/normal; within normal limits",0.9615,0.0385,"LOW"
17,"1","N0","T0","Negative/normal; within normal limits",0.9615,0.0385,"LOW"
18,"1","N0","T0","Negative/normal; within normal limits",0.9615,0.0385,"LOW"
19,"1","N0","T0","Negative/normal; within normal limits",0.9615,0.0385,"LOW"
20,"1","N0","T0","Negative/normal; within normal limits",0.9615,0.0385,"LOW"
21,"1","N0","T0","Negative/normal; within normal limits",0.9613,0.0387,"LOW"
22,"1","N0","T0","Negative/normal; within normal limits",0.9606,0.0394,"LOW"
23,"1","N0","T0","Negative/normal; within normal limits",0.9571,0.0429,"LOW"
24,"1","N0","T0","Negative/normal; within normal limits",0.9558,0.0442,"LOW"
25,"1","N0","T0","Negative/normal; within normal limits",0.9487,0.0513,"LOW"
26,"1","N0","T0","Negative/normal; within normal limits",0.9532,0.0468,"LOW"
27,"1","N0","T0","Negative/normal; within normal limits",0.9532,0.0468,"LOW"
28,"1","N0","T0","Negative/normal; within normal limits",0.9511,0.0489,"LOW"
29,"1","N0","T0","Negative/normal; within normal limits",0.9517,0.0483,"LOW"
30,"1","N0","T0","Negative/normal; within normal limits",0.9514,0.0486,"LOW"
31,"1","N0","T0","Negative/normal; within normal limits",0.9489,0.0511,"LOW"
32,"1","N0","T0","Negative/normal; within normal limits",0.946,0.054,"LOW"
33,"1","N0","T0","Negative/normal; within normal limits",0.9424,0.0576,"LOW"
34,"1","N0","T0","Negative/normal; within normal limits",0.9436,0.0564,"LOW"
35,"1","N0","T0","Negative/normal; within normal limits",0.9429,0.0571,"LOW"
36,"1","N0","T0","Negative/normal; within normal limits",0.9362,0.0638,"LOW"
37,"1","N0","T0","Negative/normal; within normal limits",0.9357,0.0643,"LOW"
38,"1","N0","T0","Negative/normal; within normal limits",0.9317,0.0683,"LOW"
39,"1","N0","T0","Negative/normal; within normal limits",0.9295,0.0705,"LOW"
40,"1","N0","T0","Negative/normal; within normal limits",0.9282,0.0718,"LOW"
41,"1","N0","T0","Negative/normal; within normal limits",0.9271,0.0729,"LOW"
42,"1","N0","T0","Negative/normal; within normal limits",0.9256,0.0744,"LOW"
43,"1","N0","T0","Negative/normal; within normal limits",0.92,0.08,"LOW"
44,"1","N0","T0","Negative/normal; within normal limits",0.9165,0.0835,"LOW"
45,"1","N0","T0","Negative/normal; within normal limits",0.9146,0.0854,"LOW"
46,"1","N0","T0","Negative/normal; within normal limits",0.7917,0.2083,"LOW"
47,"1","N0","T0","Negative/normal; within normal limits",0.8206,0.1794,"LOW"
48,"1","N0","T0","Negative/normal; within normal limits",0.8496,0.1504,"LOW"
49,"1","N0","T0","Negative/normal; within normal limits",0.8858,0.1142,"LOW"
50,"1","N0","T0","Negative/normal; within normal limits",0.9221,0.0779,"LOW"
51,"1","N0","T0","Negative/normal; within normal limits",0.9351,0.0649,"LOW"
52,"1","N0","T0","Negative/normal; within normal limits",0.9405,0.0595,"LOW"
53,"1","N0","T0","Negative/normal; within normal limits",0.9414,0.0586,"LOW"
54,"1","N0","T0","Negative/normal; within normal limits",0.942,0.058,"LOW"
55,"1","N0","T0","Negative/normal; within normal limits",0.9412,0.0588,"LOW"
56,"1","N0","T0","Negative/normal; within normal limits",0.9372,0.0628,"LOW"
57,"1","N0","T0","Negative/normal; within normal limits",0.93,0.07,"LOW"
58,"1","N0","T0","Negative/normal; within normal limits",0.9264,0.0736,"LOW"
59,"1","N0","T0","Negative/normal; within normal limits",0.9199,0.0801,"LOW"
60,"1","N0","T0","Negative/normal; within normal limits",0.9162,0.0838,"LOW"
61,"1","N0","T0","Negative/normal; within normal limits",0.9132,0.0868,"LOW"
62,"1","N0","T0","Negative/normal; within normal limits",0.9112,0.0888,"LOW"
63,"1","N0","T0","Negative/normal; within normal limits",0.8983,0.1017,"LOW"
64,"1","N0","T0","Negative/normal; within normal limits",0.8416,0.1584,"LOW"
65,"1","N0","T0","Negative/normal; within normal limits",0.8849,0.1151,"LOW"
66,"1","N0","T0","Negative/normal; within normal limits",0.8416,0.1584,"LOW"
67,"1","N0","T0","Negative/normal; within normal limits",0.8984,0.1016,"LOW"
68,"1","N0","T0","Negative/normal; within normal limits",0.9142,0.0858,"LOW"
69,"1","N0","T0","Negative/normal; within normal limits",0.9253,0.0747,"LOW"
70,"1","N0","T0","Negative/normal; within normal limits",0.9172,0.0828,"LOW"
71,"1","N0","T0","Negative/normal; within normal limits",0.9363,0.0637,"LOW"
72,"1","N0","T0","Negative/normal; within normal limits",0.9409,0.0591,"LOW"
73,"1","N0","T0","Negative/normal; within normal limits",0.9445,0.0555,"LOW"
74,"1","N0","T0","Negative/normal; within normal limits",0.9465,0.0535,"LOW"
75,"1","N0","T0","Negative/normal; within normal limits",0.949,0.051,"LOW"
76,"1","N0","T0","Negative/normal; within normal limits",0.9524,0.0476,"LOW"
77,"1","N0","T0","Negative/normal; within normal limits",0.9546,0.0454,"LOW"
78,"1","N0","T0","Negative/normal; within normal limits",0.9563,0.0437,"LOW"
79,"1","N0","T0","Negative/normal; within normal limits",0.9576,0.0424,"LOW"
80,"1","N0","T0","Negative/normal; within normal limits",0.9584,0.0416,"LOW"
81,"1","N0","T0","Negative/normal; within normal limits",0.9591,0.0409,"LOW"
82,"1","N0","T0","Negative/normal; within normal limits",0.96,0.04,"LOW"
83,"1","N0","T0","Negative/normal; within normal limits",0.9604,0.0396,"LOW"
84,"1","N0","T0","Negative/normal; within normal limits",0.9601,0.0399,"LOW"
85,"1","N0","T0","Negative/normal; within normal limits",0.9612,0.0388,"LOW"
86,"1","N0","T0","Negative/normal; within normal limits",0.962,0.038,"LOW"
87,"1","N0","T0","Negative/normal; within normal limits",0.9618,0.0382,"LOW"
88,"1","N0","T0","Negative/normal; within normal limits",0.9617,0.0383,"LOW"
89,"1","N0","T0","Negative/normal; within normal limits",0.9618,0.0382,"LOW"
90,"1","N0","T0","Negative/normal; within normal limits",0.9612,0.0388,"LOW"
91,"1","N0","T0","Negative/normal; within normal limits",0.9612,0.0388,"LOW"
92,"1","N0","T0","Negative/normal; within normal limits",0.9612,0.0388,"LOW"
93,"1","N0","T0","Negative/normal; within normal limits",0.9612,0.0388,"LOW"
94,"1","N0","T0","Negative/normal; within normal limits",0.9612,0.0388,"LOW"
95,"1","N0","T0","Negative/normal; within normal limits",0.9612,0.0388,"LOW"
96,"1","N0","T0","Negative/normal; within normal limits",0.9612,0.0388,"LOW"
97,"1","N0","T0","Negative/normal; within normal limits",0.9612,0.0388,"LOW"
98,"1","N0","T0","Negative/normal; within normal limits",0.9612,0.0388,"LOW"
99,"1","N0","T0","Negative/normal; within normal limits",0.9612,0.0388,"LOW"
0,"2","N0","T0","Negative/normal; within normal limits",0.9575,0.0425,"LOW"
1,"2","N0","T0","Negative/normal; within normal limits",0.9575,0.0425,"LOW"
2,"2","N0","T0","Negative/normal; within normal limits",0.9575,0.0425,"LOW"
3,"2","N0","T0","Negative/normal; within normal limits",0.9575,0.0425,"LOW"
4,"2","N0","T0","Negative/normal; within normal limits",0.957,0.043,"LOW"
5,"2","N0","T0","Negative/normal; within normal limits",0.957,0.043,"LOW"
6,"2","N0","T0","Negative/normal; within normal limits",0.9568,0.0432,"LOW"
7,"2","N0","T0","Negative/normal; within normal limits",0.9564,0.0436,"LOW"
8,"2","N0","T0","Negative/normal; within normal limits",0.9564,0.0436,"LOW"
9,"2","N0","T0","Negative/normal; within normal limits",0.9564,0.0436,"LOW"
10,"2","N0","T0","Negative/normal; within normal limits",0.9564,0.0436,"LOW"
11,"2","N0","T0","Negative/normal; within normal limits",0.9564,0.0436,"LOW"
