"AGE","SEX","TNM_N_cat","TNM_T_cat","retroper_sg_cat","no_metastasis","metastasis","risk_level"
0,"1","N0","T0","1",0.8524,0.1476,"LOW"
1,"1","N0","T0","1",0.8527,0.1473,"LOW"
2,"1","N0","T0","1",0.8488,0.1512,"LOW"
3,"1","N0","T0","1",0.8371,0.1629,"LOW"
4,"1","N0","T0","1",0.8395,0.1605,"LOW"
5,"1","N0","T0","1",0.8486,0.1514,"LOW"
6,"1","N0","T0","1",0.8535,0.1465,"LOW"
7,"1","N0","T0","1",0.854,0.146,"LOW"
8,"1","N0","T0","1",0.8545,0.1455,"LOW"
9,"1","N0","T0","1",0.8551,0.1449,"LOW"
10,"1","N0","T0","1",0.8641,0.1359,"LOW"
11,"1","N0","T0","1",0.8664,0.1336,"LOW"
12,"1","N0","T0","1",0.8708,0.1292,"LOW"
13,"1","N0","T0","1",0.8745,0.1255,"LOW"
14,"1","N0","T0","1",0.8769,0.1231,"LOW"
15,"1","N0","T0","1",0.8783,0.1217,"LOW"
16,"1","N0","T0","1",0.8848,0.1152,"LOW"
17,"1","N0","T0","1",0.8905,0.1095,"LOW"
18,"1","N0","T0","1",0.8902,0.1098,"LOW"
19,"1","N0","T0","1",0.8919,0.1081,"LOW"
20,"1","N0","T0","1",0.8907,0.1093,"LOW"
21,"1","N0","T0","1",0.8907,0.1093,"LOW"
22,"1","N0","T0","1",0.8924,0.1076,"LOW"
23,"1","N0","T0","1",0.8939,0.1061,"LOW"
24,"1","N0","T0","1",0.8984,0.1016,"LOW"
25,"1","N0","T0","1",0.9003,0.0997,"LOW"
26,"1","N0","T0","1",0.9049,0.0951,"LOW"
27,"1","N0","T0","1",0.9037,0.0963,"LOW"
28,"1","N0","T0","1",0.9049,0.0951,"LOW"
29,"1","N0","T0","1",0.9052,0.0948,"LOW"
30,"1","N0","T0","1",0.9066,0.0934,"LOW"
31,"1","N0","T0","1",0.9059,0.0941,"LOW"
32,"1","N0","T0","1",0.9089,0.0911,"LOW"
33,"1","N0","T0","1",0.9086,0.0914,"LOW"
34,"1","N0","T0","1",0.9105,0.0895,"LOW"
35,"1","N0","T0","1",0.9149,0.0851,"LOW"
36,"1","N0","T0","1",0.9153,0.0847,"LOW"
37,"1","N0","T0","1",0.9152,0.0848,"LOW"
38,"1","N0","T0","1",0.9192,0.0808,"LOW"
39,"1","N0","T0","1",0.9201,0.0799,"LOW"
40,"1","N0","T0","1",0.9201,0.0799,"LOW"
41,"1","N0","T0","1",0.921,0.079,"LOW"
42,"1","N0","T0","1",0.9217,0.0783,"LOW"
43,"1","N0","T0","1",0.9229,0.0771,"LOW"
44,"1","N0","T0","1",0.923,0.077,"LOW"
45,"1","N0","T0","1",0.9228,0.0772,"LOW"
46,"1","N0","T0","1",0.9239,0.0761,"LOW"
47,"1","N0","T0","1",0.9251,0.0749,"LOW"
48,"1","N0","T0","1",0.9251,0.0749,"LOW"
49,"1","N0","T0","1",0.9237,0.0763,"LOW"
50,"1","N0","T0","1",0.9238,0.0762,"LOW"
51,"1","N0","T0","1",0.9242,0.0758,"LOW"
