"AGE","SEX","TNM_N_cat","TNM_T_cat","no_metastasis","metastasis","risk_level"
0,"1","N0","T0",0.1205,0.8795,"HIGH"
1,"1","N0","T0",0.1205,0.8795,"HIGH"
2,"1","N0","T0",0.1205,0.8795,"HIGH"
3,"1","N0","T0",0.1205,0.8795,"HIGH"
4,"1","N0","T0",0.1205,0.8795,"HIGH"
5,"1","N0","T0",0.1205,0.8795,"HIGH"
6,"1","N0","T0",0.1205,0.8795,"HIGH"
7,"1","N0","T0",0.1205,0.8795,"HIGH"
8,"1","N0","T0",0.1205,0.8795,"HIGH"
9,"1","N0","T0",0.1205,0.8795,"HIGH"
10,"1","N0","T0",0.1205,0.8795,"HIGH"
11,"1","N0","T0",0.1205,0.8795,"HIGH"
12,"1","N0","T0",0.1205,0.8795,"HIGH"
13,"1","N0","T0",0.1205,0.8795,"HIGH"
14,"1","N0","T0",0.1205,0.8795,"HIGH"
15,"1","N0","T0",0.1205,0.8795,"HIGH"
16,"1","N0","T0",0.1205,0.8795,"HIGH"
17,"1","N0","T0",0.1205,0.8795,"HIGH"
18,"1","N0","T0",0.1205,0.8795,"HIGH"
19,"1","N0","T0",0.1205,0.8795,"HIGH"
20,"1","N0","T0",0.1205,0.8795,"HIGH"
21,"1","N0","T0",0.1205,0.8795,"HIGH"
22,"1","N0","T0",0.1205,0.8795,"HIGH"
23,"1","N0","T0",0.1205,0.8795,"HIGH"
24,"1","N0","T0",0.1205,0.8795,"HIGH"
25,"1","N0","T0",0.1205,0.8795,"HIGH"
26,"1","N0","T0",0.1205,0.8795,"HIGH"
27,"1","N0","T0",0.1208,0.8792,"HIGH"
28,"1","N0","T0",0.1208,0.8792,"HIGH"
29,"1","N0","T0",0.1212,0.8788,"HIGH"
30,"1","N0","T0",0.1192,0.8808,"HIGH"
31,"1","N0","T0",0.1164,0.8836,"HIGH"
32,"1","N0","T0",0.1174,0.8826,"HIGH"
33,"1","N0","T0",0.1162,0.8838,"HIGH"
34,"1","N0","T0",0.1182,0.8818,"HIGH"
35,"1","N0","T0",0.1221,0.8779,"HIGH"
36,"1","N0","T0",0.1195,0.8805,"HIGH"
37,"1","N0","T0",0.1192,0.8808,"HIGH"
38,"1","N0","T0",0.1035,0.8965,"HIGH"
39,"1","N0","T0",0.0963,0.9037,"HIGH"
40,"1","N0","T0",0.0957,0.9043,"HIGH"
41,"1","N0","T0",0.0972,0.9028,"HIGH"
42,"1","N0","T0",0.099,0.901,"HIGH"
43,"1","N0","T0",0.0984,0.9016,"HIGH"
44,"1","N0","T0",0.0997,0.9003,"HIGH"
45,"1","N0","T0",0.1026,0.8974,"HIGH"
46,"1","N0","T0",0.1066,0.8934,"HIGH"
47,"1","N0","T0",0.1103,0.8897,"HIGH"
48,"1","N0","T0",0.1123,0.8877,"HIGH"
49,"1","N0","T0",0.1197,0.8803,"HIGH"
50,"1","N0","T0",0.1209,0.8791,"HIGH"
51,"1","N0","T0",0.127,0.873,"HIGH"
52,"1","N0","T0",0.1281,0.8719,"HIGH"
53,"1","N0","T0",0.1331,0.8669,"HIGH"
54,"1","N0","T0",0.1537,0.8463,"HIGH"
55,"1","N0","T0",0.1373,0.8627,"HIGH"
56,"1","N0","T0",0.1492,0.8508,"HIGH"
57,"1","N0","T0",0.1456,0.8544,"HIGH"
58,"1","N0","T0",0.1519,0.8481,"HIGH"
59,"1","N0","T0",0.1211,0.8789,"HIGH"
60,"1","N0","T0",0.1208,0.8792,"HIGH"
61,"1","N0","T0",0.1128,0.8872,"HIGH"
62,"1","N0","T0",0.1091,0.8909,"HIGH"
63,"1","N0","T0",0.1071,0.8929,"HIGH"
64,"1","N0","T0",0.1056,0.8944,"HIGH"
65,"1","N0","T0",0.1052,0.8948,"HIGH"
66,"1","N0","T0",0.1094,0.8906,"HIGH"
67,"1","N0","T0",0.1012,0.8988,"HIGH"
68,"1","N0","T0",0.1006,0.8994,"HIGH"
69,"1","N0","T0",0.1026,0.8974,"HIGH"
70,"1","N0","T0",0.1013,0.8987,"HIGH"
71,"1","N0","T0",0.1007,0.8993,"HIGH"
72,"1","N0","T0",0.1009,0.8991,"HIGH"
73,"1","N0","T0",0.1013,0.8987,"HIGH"
74,"1","N0","T0",0.1001,0.8999,"HIGH"
75,"1","N0","T0",0.0973,0.9027,"HIGH"
76,"1","N0","T0",0.0951,0.9049,"HIGH"
77,"1","N0","T0",0.0983,0.9017,"HIGH"
78,"1","N0","T0",0.1031,0.8969,"HIGH"
79,"1","N0","T0",0.1083,0.8917,"HIGH"
80,"1","N0","T0",0.0943,0.9057,"HIGH"
81,"1","N0","T0",0.0903,0.9097,"HIGH"
82,"1","N0","T0",0.0881,0.9119,"HIGH"
83,"1","N0","T0",0.0877,0.9123,"HIGH"
84,"1","N0","T0",0.0882,0.9118,"HIGH"
85,"1","N0","T0",0.0864,0.9136,"HIGH"
86,"1","N0","T0",0.086,0.914,"HIGH"
87,"1","N0","T0",0.0873,0.9127,"HIGH"
88,"1","N0","T0",0.086,0.914,"HIGH"
89,"1","N0","T0",0.0905,0.9095,"HIGH"
90,"1","N0","T0",0.087,0.913,"HIGH"
91,"1","N0","T0",0.087,0.913,"HIGH"
92,"1","N0","T0",0.087,0.913,"HIGH"
93,"1","N0","T0",0.087,0.913,"HIGH"
94,"1","N0","T0",0.087,0.913,"HIGH"
95,"1","N0","T0",0.087,0.913,"HIGH"
96,"1","N0","T0",0.087,0.913,"HIGH"
97,"1","N0","T0",0.087,0.913,"HIGH"
98,"1","N0","T0",0.087,0.913,"HIGH"
99,"1","N0","T0",0.087,0.913,"HIGH"
0,"2","N0","T0",0.1571,0.8429,"HIGH"
1,"2","N0","T0",0.1571,0.8429,"HIGH"
2,"2","N0","T0",0.1571,0.8429,"HIGH"
3,"2","N0","T0",0.1571,0.8429,"HIGH"
4,"2","N0","T0",0.1571,0.8429,"HIGH"
5,"2","N0","T0",0.1571,0.8429,"HIGH"
6,"2","N0","T0",0.1571,0.8429,"HIGH"
7,"2","N0","T0",0.1571,0.8429,"HIGH"
8,"2","N0","T0",0.1571,0.8429,"HIGH"
9,"2","N0","T0",0.1571,0.8429,"HIGH"
10,"2","N0","T0",0.1571,0.8429,"HIGH"
11,"2","N0","T0",0.1571,0.8429,"HIGH"
12,"2","N0","T0",0.1571,0.8429,"HIGH"
13,"2","N0","T0",0.1571,0.8429,"HIGH"
14,"2","N0","T0",0.1571,0.8429,"HIGH"
15,"2","N0","T0",0.1571,0.8429,"HIGH"
16,"2","N0","T0",0.1571,0.8429,"HIGH"
17,"2","N0","T0",0.1571,0.8429,"HIGH"
18,"2","N0","T0",0.1571,0.8429,"HIGH"
19,"2","N0","T0",0.1571,0.8429,"HIGH"
20,"2","N0","T0",0.1571,0.8429,"HIGH"
21,"2","N0","T0",0.1571,0.8429,"HIGH"
22,"2","N0","T0",0.1571,0.8429,"HIGH"
23,"2","N0","T0",0.1572,0.8428,"HIGH"
24,"2","N0","T0",0.1572,0.8428,"HIGH"
25,"2","N0","T0",0.1572,0.8428,"HIGH"
26,"2","N0","T0",0.158,0.842,"HIGH"
27,"2","N0","T0",0.158,0.842,"HIGH"
28,"2","N0","T0",0.158,0.842,"HIGH"
29,"2","N0","T0",0.158,0.842,"HIGH"
30,"2","N0","T0",0.1555,0.8445,"HIGH"
31,"2","N0","T0",0.1505,0.8495,"HIGH"
32,"2","N0","T0",0.1526,0.8474,"HIGH"
33,"2","N0","T0",0.1486,0.8514,"HIGH"
34,"2","N0","T0",0.1453,0.8547,"HIGH"
35,"2","N0","T0",0.1479,0.8521,"HIGH"
36,"2","N0","T0",0.1465,0.8535,"HIGH"
37,"2","N0","T0",0.1469,0.8531,"HIGH"
38,"2","N0","T0",0.143,0.857,"HIGH"
39,"2","N0","T0",0.1519,0.8481,"HIGH"
40,"2","N0","T0",0.1478,0.8522,"HIGH"
41,"2","N0","T0",0.1476,0.8524,"HIGH"
42,"2","N0","T0",0.1419,0.8581,"HIGH"
43,"2","N0","T0",0.1462,0.8538,"HIGH"
44,"2","N0","T0",0.143,0.857,"HIGH"
45,"2","N0","T0",0.1361,0.8639,"HIGH"
46,"2","N0","T0",0.1328,0.8672,"HIGH"
47,"2","N0","T0",0.1275,0.8725,"HIGH"
48,"2","N0","T0",0.123,0.877,"HIGH"
49,"2","N0","T0",0.1221,0.8779,"HIGH"
50,"2","N0","T0",0.1203,0.8797,"HIGH"
51,"2","N0","T0",0.1219,0.8781,"HIGH"
52,"2","N0","T0",0.1106,0.8894,"HIGH"
53,"2","N0","T0",0.1111,0.8889,"HIGH"
54,"2","N0","T0",0.1155,0.8845,"HIGH"
55,"2","N0","T0",0.1195,0.8805,"HIGH"
56,"2","N0","T0",0.1178,0.8822,"HIGH"
57,"2","N0","T0",0.1186,0.8814,"HIGH"
58,"2","N0","T0",0.1203,0.8797,"HIGH"
59,"2","N0","T0",0.1181,0.8819,"HIGH"
60,"2","N0","T0",0.1214,0.8786,"HIGH"
61,"2","N0","T0",0.1232,0.8768,"HIGH"
62,"2","N0","T0",0.1304,0.8696,"HIGH"
63,"2","N0","T0",0.1567,0.8433,"HIGH"
64,"2","N0","T0",0.1305,0.8695,"HIGH"
65,"2","N0","T0",0.1311,0.8689,"HIGH"
66,"2","N0","T0",0.1372,0.8628,"HIGH"
67,"2","N0","T0",0.1369,0.8631,"HIGH"
68,"2","N0","T0",0.1318,0.8682,"HIGH"
69,"2","N0","T0",0.13,0.87,"HIGH"
70,"2","N0","T0",0.1304,0.8696,"HIGH"
71,"2","N0","T0",0.1461,0.8539,"HIGH"
72,"2","N0","T0",0.1293,0.8707,"HIGH"
73,"2","N0","T0",0.129,0.871,"HIGH"
74,"2","N0","T0",0.1263,0.8737,"HIGH"
75,"2","N0","T0",0.1256,0.8744,"HIGH"
76,"2","N0","T0",0.1232,0.8768,"HIGH"
77,"2","N0","T0",0.1227,0.8773,"HIGH"
78,"2","N0","T0",0.1216,0.8784,"HIGH"
79,"2","N0","T0",0.1222,0.8778,"HIGH"
80,"2","N0","T0",0.1234,0.8766,"HIGH"
81,"2","N0","T0",0.1194,0.8806,"HIGH"
82,"2","N0","T0",0.1234,0.8766,"HIGH"
83,"2","N0","T0",0.121,0.879,"HIGH"
84,"2","N0","T0",0.1218,0.8782,"HIGH"
85,"2","N0","T0",0.1273,0.8727,"HIGH"
86,"2","N0","T0",0.1272,0.8728,"HIGH"
87,"2","N0","T0",0.125,0.875,"HIGH"
88,"2","N0","T0",0.1359,0.8641,"HIGH"
89,"2","N0","T0",0.137,0.863,"HIGH"
90,"2","N0","T0",0.1803,0.8197,"HIGH"
91,"2","N0","T0",0.1803,0.8197,"HIGH"
92,"2","N0","T0",0.1803,0.8197,"HIGH"
93,"2","N0","T0",0.1803,0.8197,"HIGH"
94,"2","N0","T0",0.1803,0.8197,"HIGH"
95,"2","N0","T0",0.1803,0.8197,"HIGH"
96,"2","N0","T0",0.1803,0.8197,"HIGH"
97,"2","N0","T0",0.1803,0.8197,"HIGH"
98,"2","N0","T0",0.1803,0.8197,"HIGH"
99,"2","N0","T0",0.1803,0.8197,"HIGH"
0,"1","N1","T0",0.3066,0.6934,"HIGH"
1,"1","N1","T0",0.3066,0.6934,"HIGH"
2,"1","N1","T0",0.3066,0.6934,"HIGH"
3,"1","N1","T0",0.3066,0.6934,"HIGH"
4,"1","N1","T0",0.3066,0.6934,"HIGH"
5,"1","N1","T0",0.3066,0.6934,"HIGH"
6,"1","N1","T0",0.3066,0.6934,"HIGH"
7,"1","N1","T0",0.3066,0.6934,"HIGH"
8,"1","N1","T0",0.3066,0.6934,"HIGH"
9,"1","N1","T0",0.3066,0.6934,"HIGH"
10,"1","N1","T0",0.3066,0.6934,"HIGH"
11,"1","N1","T0",0.3066,0.6934,"HIGH"
12,"1","N1","T0",0.3066,0.6934,"HIGH"
13,"1","N1","T0",0.3066,0.6934,"HIGH"
14,"1","N1","T0",0.3066,0.6934,"HIGH"
15,"1","N1","T0",0.3066,0.6934,"HIGH"
16,"1","N1","T0",0.3066,0.6934,"HIGH"
17,"1","N1","T0",0.3066,0.6934,"HIGH"
18,"1","N1","T0",0.3066,0.6934,"HIGH"
19,"1","N1","T0",0.3066,0.6934,"HIGH"
20,"1","N1","T0",0.3066,0.6934,"HIGH"
