"AGE","SEX","TNM_N_cat","TNM_T_cat","no_metastasis","metastasis","risk_level"
0,"1","N0","T0",0.9545,0.0455,"LOW"
1,"1","N0","T0",0.9561,0.0439,"LOW"
2,"1","N0","T0",0.9561,0.0439,"LOW"
3,"1","N0","T0",0.9561,0.0439,"LOW"
4,"1","N0","T0",0.9561,0.0439,"LOW"
5,"1","N0","T0",0.9561,0.0439,"LOW"
6,"1","N0","T0",0.9561,0.0439,"LOW"
7,"1","N0","T0",0.9561,0.0439,"LOW"
8,"1","N0","T0",0.9561,0.0439,"LOW"
9,"1","N0","T0",0.9561,0.0439,"LOW"
10,"1","N0","T0",0.9561,0.0439,"LOW"
11,"1","N0","T0",0.9561,0.0439,"LOW"
12,"1","N0","T0",0.9561,0.0439,"LOW"
13,"1","N0","T0",0.9561,0.0439,"LOW"
14,"1","N0","T0",0.9561,0.0439,"LOW"
15,"1","N0","T0",0.9561,0.0439,"LOW"
16,"1","N0","T0",0.9561,0.0439,"LOW"
17,"1","N0","T0",0.9561,0.0439,"LOW"
18,"1","N0","T0",0.9561,0.0439,"LOW"
19,"1","N0","T0",0.9561,0.0439,"LOW"
20,"1","N0","T0",0.9561,0.0439,"LOW"
21,"1","N0","T0",0.9561,0.0439,"LOW"
22,"1","N0","T0",0.9561,0.0439,"LOW"
23,"1","N0","T0",0.9561,0.0439,"LOW"
24,"1","N0","T0",0.9561,0.0439,"LOW"
25,"1","N0","T0",0.9569,0.0431,"LOW"
26,"1","N0","T0",0.9569,0.0431,"LOW"
27,"1","N0","T0",0.9537,0.0463,"LOW"
28,"1","N0","T0",0.9497,0.0503,"LOW"
29,"1","N0","T0",0.9257,0.0743,"LOW"
30,"1","N0","T0",0.9536,0.0464,"LOW"
31,"1","N0","T0",0.9602,0.0398,"LOW"
32,"1","N0","T0",0.9567,0.0433,"LOW"
33,"1","N0","T0",0.9556,0.0444,"LOW"
34,"1","N0","T0",0.954,0.046,"LOW"
35,"1","N0","T0",0.9563,0.0437,"LOW"
36,"1","N0","T0",0.9595,0.0405,"LOW"
37,"1","N0","T0",0.9599,0.0401,"LOW"
38,"1","N0","T0",0.9601,0.0399,"LOW"
39,"1","N0","T0",0.9595,0.0405,"LOW"
40,"1","N0","T0",0.9578,0.0422,"LOW"
41,"1","N0","T0",0.9594,0.0406,"LOW"
42,"1","N0","T0",0.9593,0.0407,"LOW"
43,"1","N0","T0",0.9581,0.0419,"LOW"
44,"1","N0","T0",0.9585,0.0415,"LOW"
45,"1","N0","T0",0.9585,0.0415,"LOW"
46,"1","N0","T0",0.9576,0.0424,"LOW"
47,"1","N0","T0",0.9558,0.0442,"LOW"
48,"1","N0","T0",0.9559,0.0441,"LOW"
49,"1","N0","T0",0.9559,0.0441,"LOW"
50,"1","N0","T0",0.9554,0.0446,"LOW"
51,"1","N0","T0",0.9542,0.0458,"LOW"
52,"1","N0","T0",0.9531,0.0469,"LOW"
53,"1","N0","T0",0.9536,0.0464,"LOW"
54,"1","N0","T0",0.9535,0.0465,"LOW"
55,"1","N0","T0",0.9534,0.0466,"LOW"
56,"1","N0","T0",0.953,0.047,"LOW"
57,"1","N0","T0",0.9209,0.0791,"LOW"
58,"1","N0","T0",0.9345,0.0655,"LOW"
59,"1","N0","T0",0.9193,0.0807,"LOW"
60,"1","N0","T0",0.9047,0.0953,"LOW"
61,"1","N0","T0",0.9186,0.0814,"LOW"
62,"1","N0","T0",0.9149,0.0851,"LOW"
63,"1","N0","T0",0.9084,0.0916,"LOW"
64,"1","N0","T0",0.9078,0.0922,"LOW"
65,"1","N0","T0",0.9121,0.0879,"LOW"
66,"1","N0","T0",0.9138,0.0862,"LOW"
67,"1","N0","T0",0.917,0.083,"LOW"
68,"1","N0","T0",0.908,0.092,"LOW"
69,"1","N0","T0",0.8984,0.1016,"LOW"
70,"1","N0","T0",0.8946,0.1054,"LOW"
71,"1","N0","T0",0.9029,0.0971,"LOW"
72,"1","N0","T0",0.91,0.09,"LOW"
73,"1","N0","T0",0.903,0.097,"LOW"
74,"1","N0","T0",0.9132,0.0868,"LOW"
75,"1","N0","T0",0.9081,0.0919,"LOW"
76,"1","N0","T0",0.9113,0.0887,"LOW"
77,"1","N0","T0",0.9202,0.0798,"LOW"
78,"1","N0","T0",0.9277,0.0723,"LOW"
79,"1","N0","T0",0.9248,0.0752,"LOW"
80,"1","N0","T0",0.9286,0.0714,"LOW"
81,"1","N0","T0",0.9384,0.0616,"LOW"
82,"1","N0","T0",0.9388,0.0612,"LOW"
83,"1","N0","T0",0.9394,0.0606,"LOW"
84,"1","N0","T0",0.9373,0.0627,"LOW"
85,"1","N0","T0",0.9204,0.0796,"LOW"
86,"1","N0","T0",0.9139,0.0861,"LOW"
87,"1","N0","T0",0.9221,0.0779,"LOW"
88,"1","N0","T0",0.9121,0.0879,"LOW"
89,"1","N0","T0",0.9267,0.0733,"LOW"
90,"1","N0","T0",0.8698,0.1302,"LOW"
91,"1","N0","T0",0.8698,0.1302,"LOW"
92,"1","N0","T0",0.8698,0.1302,"LOW"
93,"1","N0","T0",0.8698,0.1302,"LOW"
94,"1","N0","T0",0.8698,0.1302,"LOW"
95,"1","N0","T0",0.8698,0.1302,"LOW"
96,"1","N0","T0",0.8698,0.1302,"LOW"
97,"1","N0","T0",0.8698,0.1302,"LOW"
98,"1","N0","T0",0.8698,0.1302,"LOW"
99,"1","N0","T0",0.8698,0.1302,"LOW"
0,"2","N0","T0",0.9111,0.0889,"LOW"
1,"2","N0","T0",0.9117,0.0883,"LOW"
2,"2","N0","T0",0.9112,0.0888,"LOW"
3,"2","N0","T0",0.9112,0.0888,"LOW"
4,"2","N0","T0",0.9112,0.0888,"LOW"
5,"2","N0","T0",0.9112,0.0888,"LOW"
6,"2","N0","T0",0.9112,0.0888,"LOW"
