"AGE","SEX","TNM_N_cat","TNM_T_cat","no_metastasis","metastasis","risk_level"
0,"1","N0","T0",0.3575,0.6425,"HIGH"
1,"1","N0","T0",0.3575,0.6425,"HIGH"
2,"1","N0","T0",0.3575,0.6425,"HIGH"
3,"1","N0","T0",0.3575,0.6425,"HIGH"
4,"1","N0","T0",0.3575,0.6425,"HIGH"
5,"1","N0","T0",0.3575,0.6425,"HIGH"
6,"1","N0","T0",0.3575,0.6425,"HIGH"
7,"1","N0","T0",0.3575,0.6425,"HIGH"
8,"1","N0","T0",0.3575,0.6425,"HIGH"
9,"1","N0","T0",0.3575,0.6425,"HIGH"
10,"1","N0","T0",0.3575,0.6425,"HIGH"
11,"1","N0","T0",0.3575,0.6425,"HIGH"
12,"1","N0","T0",0.3575,0.6425,"HIGH"
13,"1","N0","T0",0.3575,0.6425,"HIGH"
14,"1","N0","T0",0.3575,0.6425,"HIGH"
15,"1","N0","T0",0.3575,0.6425,"HIGH"
16,"1","N0","T0",0.3575,0.6425,"HIGH"
17,"1","N0","T0",0.3575,0.6425,"HIGH"
18,"1","N0","T0",0.3575,0.6425,"HIGH"
19,"1","N0","T0",0.3595,0.6405,"HIGH"
20,"1","N0","T0",0.3595,0.6405,"HIGH"
21,"1","N0","T0",0.3595,0.6405,"HIGH"
22,"1","N0","T0",0.3615,0.6385,"HIGH"
23,"1","N0","T0",0.3615,0.6385,"HIGH"
24,"1","N0","T0",0.3612,0.6388,"HIGH"
25,"1","N0","T0",0.3617,0.6383,"HIGH"
26,"1","N0","T0",0.3613,0.6387,"HIGH"
27,"1","N0","T0",0.3571,0.6429,"HIGH"
28,"1","N0","T0",0.3414,0.6586,"HIGH"
29,"1","N0","T0",0.3015,0.6985,"HIGH"
30,"1","N0","T0",0.2944,0.7056,"HIGH"
31,"1","N0","T0",0.2785,0.7215,"HIGH"
32,"1","N0","T0",0.2295,0.7705,"HIGH"
33,"1","N0","T0",0.2079,0.7921,"HIGH"
34,"1","N0","T0",0.2019,0.7981,"HIGH"
35,"1","N0","T0",0.2019,0.7981,"HIGH"
36,"1","N0","T0",0.1998,0.8002,"HIGH"
37,"1","N0","T0",0.1997,0.8003,"HIGH"
38,"1","N0","T0",0.1997,0.8003,"HIGH"
39,"1","N0","T0",0.1997,0.8003,"HIGH"
40,"1","N0","T0",0.2001,0.7999,"HIGH"
41,"1","N0","T0",0.2012,0.7988,"HIGH"
42,"1","N0","T0",0.2006,0.7994,"HIGH"
43,"1","N0","T0",0.2006,0.7994,"HIGH"
44,"1","N0","T0",0.2264,0.7736,"HIGH"
45,"1","N0","T0",0.2264,0.7736,"HIGH"
46,"1","N0","T0",0.2036,0.7964,"HIGH"
47,"1","N0","T0",0.2036,0.7964,"HIGH"
48,"1","N0","T0",0.2524,0.7476,"HIGH"
49,"1","N0","T0",0.3141,0.6859,"HIGH"
50,"1","N0","T0",0.2308,0.7692,"HIGH"
51,"1","N0","T0",0.2472,0.7528,"HIGH"
52,"1","N0","T0",0.2241,0.7759,"HIGH"
53,"1","N0","T0",0.2222,0.7778,"HIGH"
54,"1","N0","T0",0.2461,0.7539,"HIGH"
55,"1","N0","T0",0.2465,0.7535,"HIGH"
56,"1","N0","T0",0.2344,0.7656,"HIGH"
57,"1","N0","T0",0.2426,0.7574,"HIGH"
58,"1","N0","T0",0.2591,0.7409,"HIGH"
59,"1","N0","T0",0.256,0.744,"HIGH"
60,"1","N0","T0",0.2535,0.7465,"HIGH"
61,"1","N0","T0",0.2547,0.7453,"HIGH"
62,"1","N0","T0",0.2539,0.7461,"HIGH"
63,"1","N0","T0",0.2388,0.7612,"HIGH"
64,"1","N0","T0",0.2376,0.7624,"HIGH"
65,"1","N0","T0",0.2354,0.7646,"HIGH"
66,"1","N0","T0",0.2458,0.7542,"HIGH"
67,"1","N0","T0",0.2486,0.7514,"HIGH"
68,"1","N0","T0",0.2234,0.7766,"HIGH"
69,"1","N0","T0",0.2243,0.7757,"HIGH"
